day,blocktime,blocktitle,type,extra,time,name,title,abstract,bio,video,slides
tue,12:30-14:00,"Lunch, Booth, Posters & Demos ",break,Demo Theatre,13:00,"Massimiliano (Max) Giacometti, OpenHW Group","OpenHW CVA6 Linux-capable, dual-core processor on Genesys2","The design freedoms of RISC-V offer systems and SoC developers new flexibility to optimize a processor for the requirements of the target application. Now Architectural Exploration is not just about the configuration of multi-core designs, but the analysis of the application and potential advantages of custom instructions. Custom extension can boost the performance for a target class of operations, or support new multi-core communication methods.Software development with virtual prototypes is well established, but new to RISC-V is the advantage of these platforms offer to end users migrating legacy applications to the new RISC-V based device, well before silicon is available.For SoC teams optimizing a RISC-V processor they also need to address the additional challenge of RISC-V verification, open standards such as The RISC-V Verification Interface (RVVI) are helping the ecosystem support for standards-based test benches and Verification IP. This talk highlights the RISC-V models that are unifying the hardware, software, and verification teams across all phases of RISC-V projects with dependable quality and efficiency.  ","Jon Taylor has over 20 years of experience in the semiconductor industry, working in technical areas from CPU verification to embedded software, and commercial areas including field applications and technology strategy. He has worked on multiple architectures including Arm, RISC-V and proprietary CPUs. He holds a degree from Southampton University in Electronic Engineering and is currently Director of Product Technology for Imperas working on technology to help enable the RISC-V revolution.  ",,
tue,12:30-14:00,"Lunch, Booth, Posters & Demos ",break,Demo Theatre,13:15,"Mikael Carmona, CEA","VASCO 2, an ASIC to highlight the latest innovations in security of component",,"Roger Espasa is the founder and CEO of Semidynamics, an IP supplier of two RISC-V cores, Avispado (in-order) and Atrevido (out-of-order) supporting the RISC-V vector extension and Gazzillion™ misses, both targeted at HPC and Machine Learning. In addition, Semidynamics architected and designed the Esperanto Technologies; 1024+ core machine-learning 7 nm SoC. Prior to Semidynamics, Roger was at Broadcom working on an ARMV8 wide out-of-order core. (2014-2016). Previously, Roger worked at Intel (2002-2014) developing a vector extension for the x86 ISA, initially deployed in XeonPhi (Larrabee) which then became AVX-512. Roger also led the texture sampling unit for Larrabee. Roger then worked on Knight’s Landing (14 nm) and led the core for Knights Hill (10 nm). Between 1999 and 2001 Roger worked for the Alpha Microprocessor Group on a vector extension to the Alpha architecture known as Tarantula. Roger got his PhD from UPC in 1997, has published over 40 peer-reviewed papers on Vector Architectures, Graphics/3D Architecture, Binary translation and optimization, Branch Prediction, and Media ISA Extensions and holds 9 patents with 41 international filings.  ",,
tue,12:30-14:00,"Lunch, Booth, Posters & Demos ",break,Demo Theatre,13:30,Jon Taylor - Imperas Software Ltd.,"RISC-V Models for Verification, Software Development and Architectural Exploration",,,,
tue,14:00-14:30,Keynotes,keynote,,14:00,"Roger Espasa, Semidynamics",Semidynamics Highly Configurable OOO Vector Unit,"In this talk we will disclose Semidynamics Out-of-Order RISC-V Vector unit, which is fully compliant with the RVV1.0 specification. We will disclose all the configuration options available for customers and discuss some performance data for an 8-lane configuration  ",,,2023-06-06-14h30-Roger-ESPASA-slides.pdf
tue,14:00-14:30,Keynotes,keynote,,14:15,"Michael Gielda, Antmicro",RISC-V and Antmicro’s visual system designer: Everything everywhere all at once,"RISC-V offers unprecedented freedom in designing hardware systems, prompting a renaissance in new core implementations, system building blocks and SW-HW co-design paradigms. Drawing on the experience of working with the expansive landscape of RISC-V implementations, both on the hardware and software level, Antmicro is developing a visual platform designer which helps navigate this complexity. The tool builds on the configurability of RISC-V and the our vast open source database of hardware components to let you create advanced, real-world systems which can be simulated with the open source Renode simulator and seeded with software such as Zephyr or Linux.

Thanks to Renode’s support for vector and custom instructions and integration with Google’s IREE toolchain through Antmicro’s Kenning ML framework, the designer is also a great entrypoint for hardware-accelerated ML co-design, and combined with Antmicro’s photorealistic 3D component model library and open source HW design methodology it can be used to kickstart the development of custom RISC-V based devices.

Combine cores and HW peripherals, SoCs, modules and other hardware components, all the way to heterogeneous connected systems to build, simulate and develop software for any kind of RISC-V platform. The transparency and flexibility of this comprehensive design paradigm will provide infinite possibilities for collecting both hardware and software data for efficient co-design",,,2023-06-06-14h15-Michael-GIELDA-slides.pdf
tue,14:30-15:30,Technical Talks ,technical,,14:30,"Anthony Zgheib, CEA Leti",Enhancing the RISC-V Trace Encoder to verify the control-flow and code execution integrity,,,,2023-06-06-14h30-Anthony-ZGHEIB-slides.pdf
tue,14:30-15:30,Technical Talks ,technical,,14:45,"Stefano Mercogliano, University of Naples Federico II",Enabling Virtualisation on RISC-V Microcontrollers,,,,2023-06-06-14h45-Stefano-MERCOGLIANO-slides.pdf
tue,14:30-15:30,Technical Talks ,technical,,15:00,"Franz Fuchs, University of Cambridge",Mitigating Transient-Execution Attacks with CHERI Compartments,,,,2023-06-06-15h00-Franz-FUCHS-slides.pdf
tue,14:30-15:30,Technical Talks ,technical,,15:15,"Jimmy Le Rhun, Thales Research and Technology","Safe, Secure and Reliable Computing with the NOEL-V Processor: from the De-RISC H2020 Project and onward",,,2023-06-06-15h15-Jimmy-LE-RHUN-abstract.pdf,2023-06-06-15h15-Jimmy-LE-RHUN-slides.pdf
tue,15:30-16:30,"Break, Booth, Posters & Demos ",break,,,,Exhibition / Poster Sessions ,,,,
tue,16:30-17:00,Keynotes,keynote,,16:30,"Franck Bernard, Bosch",The RISC-V opportunity in Automotive Electronics,,"A digital transformation of the car is currently taking place, driven by powertrain electrification, increased levels of autonomy, new in-car experiences and the trend towards the Software-defined vehicle. The automotive supply chain is looking for the computing architectures that can deliver this future.

In this talk, we will examine the opportunity that Bosch sees in the RISC-V ISA and how it can be applied to future automotive challenges. We will detail architectural trends and the move from distributed to domain-centralized and then vehicle-centralized compute. The processing needs of the different in-car processing modules will be discussed, including performance requirements and the range of cores that will be required.

We will discuss the benefits that the RISC-V architecture can bring to Bosch as an automotive supplier and how Bosch is engaging with the RISC-V ecosystem to address its computing needs across both hardware and software, as well as key considerations such as Functional Safety and Security, in both the short and long term.","Franck Bernard holds an Engineer degree in control processing from Grenoble INP and a Master of Sciences in image processing from Paris Telecom Engineering school (ENST). He started his career as researcher at Philips Electronic Lab in 1990 working in medical imaging before moving as system architect mgr for 3G Chips still with Philips. He moved to semiconductor business in 2002 as Program Manager for the 3G modem with Philips Semiconductor, and was appointed as director of IC development for 4G modem with NXP and then with ST-Ericsson. Joining STMicroelectronics in 2012, he was managing the development of Smart Rear Camera IC, and spent 2 years as technical marketing manager in the STMicroelectronics ASIC business before joining Bosch Automotive Electronics in 2015. Since then he is deputy manager of the EIY group in charge of developing Digital IPs and System on Chips for the automotive business.  ",2023-06-06-16h30-Franck-BERNARD-slides.pdf
tue,17:00-17:15,Industry Talk ,technical,,17:00,"Peter Lewin, Imagination",Developing a RISC-V Automotive Safety Island,,,,2023-06-06-17h00-Peter-LEWIN-slides.pdf
tue,17:15-17:30,Technical Talks,technical,,17:15,"Abdoulaye Berthe, Low Power Futures",RISC-V Trusted MCU for Functional Safety Applications,,,,
tue,17:30-18:15,Panel,keynote,,17:30,"Nitin Dahad, embedded.com (moderator). Andrew Frame, SiFive. Travis Lanier, Ventana. Peter Lewin, Imagination. Charlie Su, Andes. Itai Yarom, MIPS",What’s the reality of RISC-V in automotive?,,,,
tue,18:15-20:15,"On-Site Cocktail, Booth, Posters & Demos",social,,,,"Join us for an Cocktail Reception in the Exhibition area, where you can connect with visitors, speakers, and our sponsors at their stands.",,,,
wed,8:00-8:45,Breakfast Panel,break,,8:00,,Collaboration and Culture: Leveraging Diverse Strengths to Cultivate a Stronger Community,"It takes a global community to bring out the best of an open standard.  So how do we tap into and embrace the diversity of the ecosystem to strengthen solutions around RISC-V? RISC-V is a global standard, so it requires groups around the world to find ways to bring together individuals with different skillsets and experience, in different stages in their careers, from various industries, or across different regions, and channeling their strengths to make RISC-V the standard for open computing. From projects in Europe that pull together members across industry, academia and research, to individuals that need to rally resources across a nation or a university, here’s a chance to hear from members of the global community on how they address culture. create high-performing groups and collaborate to get the most out of their teams. 

Panelists:
- Dr Yungang Bao, China RISC-V Alliance (CRVA), Beijing Institute of Open-Source Chip (BOSC)
- John D. Davis, BSC
- Gianna Paulin, Integrated Systems Laboratory (IIS) / ETH Zurich
- Calista Redmond, RISC-V International, moderator.",,,
wed,9:00-10:30 ,Keynotes,keynote,,9:00,"Luca Benini, ETH Zürich, Università di Bologna","Open RISC-V Platforms for Energy-Efficient, Scalable Computing","Today’s data-parallel workloads in HPC, AI, IoT demand ever-growing performance under an (almost) constant power envelope. To address this fundamental challenge in a regime of diminishing returns from technology scaling, we must minimize overhead associated with data transfer, data-flow management, as well as instruction fetching, decoding, while introducing “controlled doses” of domain specialization. The last decade has seen the rise of open instruction sets, open architectures, and open hardware as key enablers for designing more efficient computing systems. In this talk, I share insights gained in a decade of design adventures on open-source RISC-V hardware and software for energy-efficient computing, moving from tiny, parallel ultra-low power chips to high-performance many-core chiplets, and provide a personal view on future directions.  ","Luca Benini holds the chair of digital Circuits and systems at ETHZ and is Full Professor at the Universita’ di Bologna. He received a PhD from Stanford University. Dr. Benini’s research interests are in energy-efficient parallel computing systems, smart sensing micro-systems and machine learning hardware. He is a Fellow of the IEEE, of the ACM and a member of the Academia Europaea. He is the recipient of the 2016 IEEE CAS Mac Van Valkenburg award, the 2020 EDAA achievement Award, the 2020 ACM/IEEE A. Richard Newton Award and the 2023 IEEE CS Edward J. McCluskey award.  ",,2023-06-07-09h00-Luca-BENINI-slides.pdf
wed,9:00-10:30 ,Keynotes,keynote,,9:30,"Dr Yungang Bao, China RISC-V Alliance (CRVA), Beijing Institute of Open-Source Chip (BOSC)",RISC-V in China: Embracing the Era of Open-Source Chip,"RISC-V has made a significant impact on the chip industry and academia all over the world. China’s RISC-V community shares the same goals of building a shared global RISC-V ecosystem and has been one of the main contributors to the RISC-V ecosystem. In this talk, I will first summarize the status of RISC-V in China and then introduce two specific projects towards building an open-source chip ecosystem: (1) The XiangShan project targets an open-source high-performance RISC-V core (https://github.com/OpenXiangShan/XiangShan); (2) The One Student One Chip (OSOC) Initiative aims to train undergraduates by building real RISC-V chips and has already attracted about 3000 participants from 300+ universities.  ","Yungang Bao is a professor of Institute of Computing Technology (ICT), Chinese Academy of Sciences (CAS) and is the deputy director of ICT, CAS. He also serves as Chief Scientist of Beijing Institute of Open Source Chip (BOSC) and BoD/TSC member of RISC-V International. He founded the China RSIC-V Alliance (CRVA) and serves as the secretary-general of CRVA. His prior research works have been adopted by Alibaba, Huawei, Intel and Microsoft etc. Over the past years, he has been leading the XiangShan project and the One Student One Chip (OSOC) Initiative. He was the winner of CCF-Intel Young Faculty Award of the year for 2013 and the winner of CCF-IEEE CS Young Computer Scientist Award and China’s National Lofty Honor for Youth under 40 of the year for 2019.  ",,2023-06-07-09h30-Yungang-BAO-slides.pdf
wed,9:00-10:30 ,Keynotes,keynote,,10:00,"Dominic Rizzo, zeroRISC Inc, OpenTitan","OpenTitan: Past, Present and Future of Open Source Secure Silicon","OpenTitan brought a new level of transparency to secure silicon development with its first discrete chip design, freely available today. However, OpenTitan has always had broader goals than a single discrete silicon root of trust.

This talk will discuss the entire OpenTitan family of permissively licensed design and verification IP in the broader context of creating a high quality open silicon ecosystem. I will review the current state of the project, both the upcoming commercial discrete device tapeout and forthcoming designs built from the OpenTitan IP ecosystem.

I will explore our unique Silicon Commons approach to development across diverse partners and geographies, including how our governance model – hosted by the non-profit engineering firm, lowRISC C.I.C. – created a stable community development platform. Finally, I will present how our commitment to open development led to commercial and research innovations today, concretely demonstrating the value of implementation and development transparency.","Mr. Dominic Rizzo is CEO and co-founder of zeroRISC Inc., a RISC-V start-up working in the open source silicon space. He founded the OpenTitan project, the world’s first open source silicon root of trust design, and currently serves as its Project Director. He previously developed the first FIPS 140-2 certified Enterprise U2F Security Key, and has research interests in hardening silicon against physical attacks and side channels, trustworthy authenticators, and formal methods for proof of implementation correctness. He received his BS in Aerospace Engineering from the Massachusetts Institute of Technology and his MS in Computer Science from the California Institute of Technology.  ",,2023-06-07-10h00-Dominic-RIZZO-slides.pdf
wed,10:30-11:30 ,"Break, Booth, Posters & Demos ",break,Demo Theatre,10:40,Semidynamics Team,Semidynamics Vector Unit Performance Demonstration,In this demo session we will show the Semidynamics vector unit running several visual benchmarks and compare their performance against a core without vector unit.  ,,,
wed,10:30-11:30 ,"Break, Booth, Posters & Demos ",break,Demo Theatre,10:55,"Zdenek Prikryl, Codasip",RISC-V as an enabler of heterogeneous compute,"The semiconductor industry has benefited from shrinking process nodes to improve performance while reducing cost and power for many years. But this no longer holds. We can’t rely on smaller silicon geometries to achieve computational improvements. Instead, we are in a world where performance, power, and cost benefits must come from the architecture and from custom compute. With many possible specialized processor architectures, processor design automation is essential to ensure that design cycles are short and cost effective. In this demo, we will go through some examples that show how RISC-V designs are customized for computational workloads in different domains using a single, unified toolchain for processor design automation.  ",,,
wed,10:30-11:30 ,"Break, Booth, Posters & Demos ",break,Demo Theatre,11:10,"Warren Chen, Andes Technology",Andes AI Runs Everywhere with DSP/Vector/NN Libraries and AndesClarity,"AI applications require efficient and powerful flexible computing capabilities of the Processor. AndesCore™ DSP/SIMD Extension (RVP) and Vector Extensions (RVV) could efficiently boost the performance with respective intrinsic functions, and highly optimized DSP, Vector, and NN libraries. In this talk, we will explore the AndesCore™ AX45MPV Vector Processor and AI software stack and solutions. With the help of the AndesClarity™ pipeline visualizer and analyzer, developers could identify stall bubbles and data and resource dependencies associated with instructions and source code for further optimizations.  ","Warren Chen is a Senior Technical Manager at Andes Technology, where he works in the Technical Marketing Division. Warren has over 20 years of work experience ranging from embedded operating system porting, device driver, middleware, software architecture, project management, and marketing. He is excited to be part of the dynamic and growing RISC-V community.  ",,
wed,11:30-12:00 ,Keynote,keynote,,11:30,"Lars Bergstrom, Google",Android on RISC-V: Progress and Updates,"In this talk, we will discuss the progress that has been made in supporting RISC-V in Android and the [Android Open Source Platform (AOSP)](https://source.android.com/).

We will cover the following topics:
- The progress that has been made in supporting RISC-V and recently-ratified extensions and the RVA22 profile in Android and AOSP
- Updates on language support from C/C++, Rust, Java, and other languages for new RISC-V specifications targeting Android
- An overview of how we have been investing alongside the broader RISC-V ecosystem to bring production-readiness to some key open source projects","Lars Bergstrom is a Director of Engineering at Google on the Android team, working on their platform programming languages, including Java, C/C++, and Rust and the supporting tools and libraries. He also serves as Google’s Corporate Director to RISC-V International and Chair of the Board of Directors of the Rust Foundation. Before Google, he was at Mozilla Research, initially contributing to the Servo browser project and directing the integration of Rust into Firefox and the partner ecosystem. Later, he led Mozilla’s AR and VR work, shipping software and building OEM relationships on many different devices. He received his Ph.D. in Computer Science from the University of Chicago in 2013.  ",,
wed,12:00-12:30,Technical Talks,technical,,12:00,"Dave Ditzel, founder and CTO of Esperanto Technologies",RISC-V's revolutionary role for simultaneously supporting machine learning and HPC,,,,
wed,12:00-12:30,Technical Talks,technical,,12:15,"Umair Riaz, BSC",MEDEA: Improved Memory-Level Parallelism in a decoupled execute/access vector accelerator,,,,
wed,12:30-14:00,"Lunch, Booth, Posters & Demos ",break,Demo Theatre,13:00,"Brian Colgan, Microchip",Introducing the PolarFire® SoC Smart Embedded Vision Kit,,,,
wed,12:30-14:00,"Lunch, Booth, Posters & Demos ",break,Demo Theatre,13:15,"Jan Andersson, Frontgrade Gaisler",Designing a RISC-V SoC with the NOEL-V Processor and the GRLIB IP Library,,,,
wed,12:30-14:00,"Lunch, Booth, Posters & Demos ",break,Demo Theatre,13:30,"Dr. Ari Kulmala, TII",Secure RISC-V for Flight controller and Mission Computer,,,,
wed,14:00-14:30,Keynote,keynote,,14:00,"Patrick Pype, NXP",TRISTAN: Together for RISC-V Technology and Applications,,,,
wed,14:30-15:30,Industry Talks,technical,,14:30,"Karol Gugala, Antmicro & Matt Cockrell, Google",Enabling Collaborative Chip Design in the RISC-V VeeR core and Caliptra RoT Project with CHIPS Alliance tools,,,,
wed,14:30-15:30,Industry Talks,technical,,14:45,"Joaquim Maria Castella Triginer, Virtual Vehicle Research GmbH",Enhancing Safety with RISC-V-based SPIDER Autonomous Robot:A Use-Case from the ECSEL FRACTAL Project,,,,
wed,14:30-15:30,Industry Talks,technical,,15:00,"Duncan Graham, Imperas Software",Hybrid Simulation with Emulation for RISC-V Software Bring Up and Hardware-Software Co-Verification,,,,
wed,14:30-15:30,Industry Talks,technical,,15:15,"Hualin Wu, Terapines Ltd",Accelerate HPC and AI applications with RVV auto vectorization,,,,
wed,15:30-16:30,"Break, Booths & Posters ",break,,,,Exhibition / Poster Sessions ,,,,
wed,16:30-16:45 ,Industry Talk,technical,,16:30,"Jeremy Bennett, Embecosm",The CORE‑V software ecosystem: Ten lessons learned from developing vendor specific compiler tool chains,,,,
wed,16:45-17:15,Keynote,keynote,,16:45,"Matthew Xuereb, European Commission",The European Chips Act: Enabling chip design in Europe,,,,
wed,17:15-18:00 ,Panel,keynote,,17:15,"Calista Redmond, RISC-V (moderator). Luis-Carlos Busquets-Perez, EU Commission. John D. Davis, BSC. Roger Espasa, Semidynamics. Daniel Opalka, EuroHPC. Patrick Pype, NXP. Stefan Wallentowitz, Munich University of Applied Sciences",Pannel on EU & RISC-V,,,,
wed,20:00-23:00,Off-Site Social Event,social,,,,Connect with your fellow Summit attendees for an evening of food and drinks at the beautiful [Estació de França](http://restauranteestaciondefrancia.com/),,,,
thu,09:00-10:00,Keynotes,keynote,,9:00,"Philipp Tomsich, VRULL GmbH",SW-driven evolution of a uniquely modular and extensible ISA,,,,
thu,09:00-10:00,Keynotes,keynote,,9:30,"Thierry Collette, Thales R&T",4 years of Open Source RISC-V at Thales,,,,
